duration_in_secs,handle,packets,bytes
121.213458,112:,1,1066
121.213458,114:,4,224
121.213458,11:,22,19412
123.219055,1:,427,451142
123.219055,122:,100,106600
123.219055,124:,105,111930
123.219055,113:,1,1066
123.219055,111:,17,18122
123.219055,12:,405,431730
123.219055,121:,100,106600
123.219055,123:,100,106600
123.219055,112:,1,1066
123.219055,114:,4,224
123.219055,11:,22,19412
125.266342,1:,434,458604
125.266342,122:,100,106600
125.266342,124:,112,119392
125.266342,113:,1,1066
125.266342,111:,17,18122
125.266342,12:,412,439192
125.266342,121:,100,106600
125.266342,123:,100,106600
125.266342,112:,1,1066
125.266342,114:,4,224
125.266342,11:,22,19412
127.285181,1:,442,467132
127.285181,122:,100,106600
127.285181,124:,119,126854
127.285181,113:,1,1066
127.285181,111:,18,19188
127.285181,12:,419,446654
127.285181,121:,100,106600
127.285181,123:,100,106600
127.285181,112:,1,1066
127.285181,114:,4,224
127.285181,11:,23,20478
129.297067,1:,449,474594
129.297067,122:,100,106600
129.297067,124:,126,134316
129.297067,113:,1,1066
129.297067,111:,18,19188
129.297067,12:,426,454116
129.297067,121:,100,106600
129.297067,123:,100,106600
129.297067,112:,1,1066
129.297067,114:,4,224
129.297067,11:,23,20478
131.316164,1:,457,483122
131.316164,122:,100,106600
131.316164,124:,134,142844
131.316164,113:,1,1066
131.316164,111:,18,19188
131.316164,12:,434,462644
131.316164,121:,100,106600
131.316164,123:,100,106600
131.316164,112:,1,1066
131.316164,114:,4,224
131.316164,11:,23,20478
133.324707,1:,465,491650
133.324707,122:,100,106600
133.324707,124:,141,150306
133.324707,113:,1,1066
133.324707,111:,19,20254
133.324707,12:,441,470106
133.324707,121:,100,106600
133.324707,123:,100,106600
133.324707,112:,1,1066
133.324707,114:,4,224
133.324707,11:,24,21544
135.33054,1:,472,499112
135.33054,122:,100,106600
135.33054,124:,148,157768
135.33054,113:,1,1066
135.33054,111:,19,20254
135.33054,12:,448,477568
135.33054,121:,100,106600
135.33054,123:,100,106600
135.33054,112:,1,1066
135.33054,114:,4,224
135.33054,11:,24,21544
137.336194,1:,479,506574
137.336194,122:,100,106600
137.336194,124:,155,165230
137.336194,113:,1,1066
137.336194,111:,19,20254
137.336194,12:,455,485030
137.336194,121:,100,106600
137.336194,123:,100,106600
137.336194,112:,1,1066
137.336194,114:,4,224
137.336194,11:,24,21544
139.340432,1:,486,514036
139.340432,122:,100,106600
139.340432,124:,162,172692
139.340432,113:,1,1066
139.340432,111:,19,20254
139.340432,12:,462,492492
139.340432,121:,100,106600
139.340432,123:,100,106600
139.340432,112:,1,1066
139.340432,114:,4,224
139.340432,11:,24,21544
141.354231,1:,494,522564
141.354231,122:,100,106600
141.354231,124:,169,180154
141.354231,113:,1,1066
141.354231,111:,20,21320
141.354231,12:,469,499954
141.354231,121:,100,106600
141.354231,123:,100,106600
141.354231,112:,1,1066
141.354231,114:,4,224
141.354231,11:,25,22610
143.360183,1:,501,530026
143.360183,122:,100,106600
143.360183,124:,176,187616
143.360183,113:,1,1066
143.360183,111:,20,21320
143.360183,12:,476,507416
143.360183,121:,100,106600
143.360183,123:,100,106600
143.360183,112:,1,1066
143.360183,114:,4,224
143.360183,11:,25,22610
145.366098,1:,508,537488
145.366098,122:,100,106600
145.366098,124:,183,195078
145.366098,113:,1,1066
145.366098,111:,20,21320
145.366098,12:,483,514878
145.366098,121:,100,106600
145.366098,123:,100,106600
145.366098,112:,1,1066
145.366098,114:,4,224
145.366098,11:,25,22610
147.372358,1:,516,546016
147.372358,122:,100,106600
147.372358,124:,190,202540
147.372358,113:,1,1066
147.372358,111:,21,22386
147.372358,12:,490,522340
147.372358,121:,100,106600
147.372358,123:,100,106600
147.372358,112:,1,1066
147.372358,114:,4,224
147.372358,11:,26,23676
149.378317,1:,523,553478
149.378317,122:,100,106600
149.378317,124:,197,210002
149.378317,113:,1,1066
149.378317,111:,21,22386
149.378317,12:,497,529802
149.378317,121:,100,106600
149.378317,123:,100,106600
149.378317,112:,1,1066
149.378317,114:,4,224
149.378317,11:,26,23676
151.384801,1:,526,556676
151.384801,122:,100,106600
151.384801,124:,200,213200
151.384801,113:,1,1066
151.384801,111:,21,22386
151.384801,12:,500,533000
151.384801,121:,100,106600
151.384801,123:,100,106600
151.384801,112:,1,1066
151.384801,114:,4,224
151.384801,11:,26,23676
153.393176,1:,526,556676
153.393176,122:,100,106600
153.393176,124:,200,213200
153.393176,113:,1,1066
153.393176,111:,21,22386
153.393176,12:,500,533000
153.393176,121:,100,106600
153.393176,123:,100,106600
153.393176,112:,1,1066
153.393176,114:,4,224
153.393176,11:,26,23676
155.398203,1:,527,557742
155.398203,122:,100,106600
155.398203,124:,200,213200
155.398203,113:,1,1066
155.398203,111:,22,23452
155.398203,12:,500,533000
155.398203,121:,100,106600
155.398203,123:,100,106600
155.398203,112:,1,1066
155.398203,114:,4,224
155.398203,11:,27,24742
157.410021,1:,527,557742
157.410021,122:,100,106600
157.410021,124:,200,213200
157.410021,113:,1,1066
157.410021,111:,22,23452
157.410021,12:,500,533000
157.410021,121:,100,106600
157.410021,123:,100,106600
157.410021,112:,1,1066
157.410021,114:,4,224
157.410021,11:,27,24742
159.417044,1:,527,557742
159.417044,122:,100,106600
159.417044,124:,200,213200
159.417044,113:,1,1066
159.417044,111:,22,23452
159.417044,12:,500,533000
159.417044,121:,100,106600
159.417044,123:,100,106600
159.417044,112:,1,1066
159.417044,114:,4,224
159.417044,11:,27,24742
161.423922,1:,527,557742
161.423922,122:,100,106600
161.423922,124:,200,213200
161.423922,113:,1,1066
161.423922,111:,22,23452
161.423922,12:,500,533000
161.423922,121:,100,106600
161.423922,123:,100,106600
161.423922,112:,1,1066
161.423922,114:,4,224
161.423922,11:,27,24742
163.429712,1:,528,558808
163.429712,122:,100,106600
163.429712,124:,200,213200
163.429712,113:,1,1066
163.429712,111:,23,24518
163.429712,12:,500,533000
163.429712,121:,100,106600
163.429712,123:,100,106600
163.429712,112:,1,1066
163.429712,114:,4,224
163.429712,11:,28,25808
165.435391,1:,528,558808
165.435391,122:,100,106600
165.435391,124:,200,213200
165.435391,113:,1,1066
165.435391,111:,23,24518
165.435391,12:,500,533000
165.435391,121:,100,106600
165.435391,123:,100,106600
165.435391,112:,1,1066
165.435391,114:,4,224
165.435391,11:,28,25808
167.44146,1:,528,558808
167.44146,122:,100,106600
167.44146,124:,200,213200
167.44146,113:,1,1066
167.44146,111:,23,24518
167.44146,12:,500,533000
167.44146,121:,100,106600
167.44146,123:,100,106600
167.44146,112:,1,1066
167.44146,114:,4,224
167.44146,11:,28,25808
169.446585,1:,529,559874
169.446585,122:,100,106600
169.446585,124:,200,213200
169.446585,113:,1,1066
169.446585,111:,24,25584
169.446585,12:,500,533000
169.446585,121:,100,106600
169.446585,123:,100,106600
169.446585,112:,1,1066
169.446585,114:,4,224
169.446585,11:,29,26874
171.452221,1:,529,559874
171.452221,122:,100,106600
171.452221,124:,200,213200
171.452221,113:,1,1066
171.452221,111:,24,25584
171.452221,12:,500,533000
171.452221,121:,100,106600
171.452221,123:,100,106600
171.452221,112:,1,1066
171.452221,114:,4,224
171.452221,11:,29,26874
173.456955,1:,529,559874
173.456955,122:,100,106600
173.456955,124:,200,213200
