duration_in_secs,handle,packets,bytes
113.002286,11:,11,9734
115.012898,1:,187,197350
115.012898,122:,76,81016
115.012898,124:,0,0
115.012898,113:,0,0
115.012898,111:,8,8528
115.012898,12:,176,187616
115.012898,121:,100,106600
115.012898,123:,0,0
115.012898,112:,1,1066
115.012898,114:,2,140
115.012898,11:,11,9734
117.032709,1:,191,201614
117.032709,122:,80,85280
117.032709,124:,0,0
117.032709,113:,0,0
117.032709,111:,8,8528
117.032709,12:,180,191880
117.032709,121:,100,106600
117.032709,123:,0,0
117.032709,112:,1,1066
117.032709,114:,2,140
117.032709,11:,11,9734
119.04706,1:,195,205878
119.04706,122:,84,89544
119.04706,124:,0,0
119.04706,113:,0,0
119.04706,111:,8,8528
119.04706,12:,184,196144
119.04706,121:,100,106600
119.04706,123:,0,0
119.04706,112:,1,1066
119.04706,114:,2,140
119.04706,11:,11,9734
121.051459,1:,198,209076
121.051459,122:,87,92742
121.051459,124:,0,0
121.051459,113:,0,0
121.051459,111:,8,8528
121.051459,12:,187,199342
121.051459,121:,100,106600
121.051459,123:,0,0
121.051459,112:,1,1066
121.051459,114:,2,140
121.051459,11:,11,9734
123.055285,1:,203,214406
123.055285,122:,91,97006
123.055285,124:,0,0
123.055285,113:,0,0
123.055285,111:,9,9594
123.055285,12:,191,203606
123.055285,121:,100,106600
123.055285,123:,0,0
123.055285,112:,1,1066
123.055285,114:,2,140
123.055285,11:,12,10800
125.064019,1:,206,217604
125.064019,122:,94,100204
125.064019,124:,0,0
125.064019,113:,0,0
125.064019,111:,9,9594
125.064019,12:,194,206804
125.064019,121:,100,106600
125.064019,123:,0,0
125.064019,112:,1,1066
125.064019,114:,2,140
125.064019,11:,12,10800
127.079489,1:,210,221868
127.079489,122:,98,104468
127.079489,124:,0,0
127.079489,113:,0,0
127.079489,111:,9,9594
127.079489,12:,198,211068
127.079489,121:,100,106600
127.079489,123:,0,0
127.079489,112:,1,1066
127.079489,114:,2,140
127.079489,11:,12,10800
129.105483,1:,213,225066
129.105483,122:,100,106600
129.105483,124:,1,1066
129.105483,113:,0,0
129.105483,111:,9,9594
129.105483,12:,201,214266
129.105483,121:,100,106600
129.105483,123:,1,1066
129.105483,112:,1,1066
129.105483,114:,2,140
129.105483,11:,12,10800
131.124041,1:,217,229330
131.124041,122:,100,106600
131.124041,124:,3,3198
131.124041,113:,0,0
131.124041,111:,9,9594
131.124041,12:,205,218530
131.124041,121:,100,106600
131.124041,123:,3,3198
131.124041,112:,1,1066
131.124041,114:,2,140
131.124041,11:,12,10800
133.143028,1:,220,232528
133.143028,122:,100,106600
133.143028,124:,4,4264
133.143028,113:,0,0
133.143028,111:,9,9594
133.143028,12:,208,221728
133.143028,121:,100,106600
133.143028,123:,5,5330
133.143028,112:,1,1066
133.143028,114:,2,140
133.143028,11:,12,10800
135.190244,1:,224,236792
135.190244,122:,100,106600
135.190244,124:,6,6396
135.190244,113:,0,0
135.190244,111:,9,9594
135.190244,12:,212,225992
135.190244,121:,100,106600
135.190244,123:,7,7462
135.190244,112:,1,1066
135.190244,114:,2,140
135.190244,11:,12,10800
137.208598,1:,229,242122
137.208598,122:,100,106600
137.208598,124:,7,7462
137.208598,113:,0,0
137.208598,111:,10,10660
137.208598,12:,216,230256
137.208598,121:,100,106600
137.208598,123:,10,10660
137.208598,112:,1,1066
137.208598,114:,2,140
137.208598,11:,13,11866
139.22692,1:,232,245320
139.22692,122:,100,106600
139.22692,124:,8,8528
139.22692,113:,0,0
139.22692,111:,10,10660
139.22692,12:,219,233454
139.22692,121:,100,106600
139.22692,123:,12,12792
139.22692,112:,1,1066
139.22692,114:,2,140
139.22692,11:,13,11866
141.233598,1:,236,249584
141.233598,122:,100,106600
141.233598,124:,10,10660
141.233598,113:,0,0
141.233598,111:,10,10660
141.233598,12:,223,237718
141.233598,121:,100,106600
141.233598,123:,14,14924
141.233598,112:,1,1066
141.233598,114:,2,140
141.233598,11:,13,11866
143.25043,1:,239,252782
143.25043,122:,100,106600
143.25043,124:,11,11726
143.25043,113:,0,0
143.25043,111:,10,10660
143.25043,12:,226,240916
143.25043,121:,100,106600
143.25043,123:,16,17056
143.25043,112:,1,1066
143.25043,114:,2,140
143.25043,11:,13,11866
145.26926,1:,243,257046
145.26926,122:,100,106600
145.26926,124:,13,13858
145.26926,113:,0,0
145.26926,111:,10,10660
145.26926,12:,230,245180
145.26926,121:,100,106600
145.26926,123:,18,19188
145.26926,112:,1,1066
145.26926,114:,2,140
145.26926,11:,13,11866
147.286984,1:,246,260244
147.286984,122:,100,106600
147.286984,124:,14,14924
147.286984,113:,0,0
147.286984,111:,10,10660
147.286984,12:,233,248378
147.286984,121:,100,106600
147.286984,123:,20,21320
147.286984,112:,1,1066
147.286984,114:,2,140
147.286984,11:,13,11866
149.314479,1:,250,264508
149.314479,122:,100,106600
149.314479,124:,16,17056
149.314479,113:,0,0
149.314479,111:,10,10660
149.314479,12:,237,252642
149.314479,121:,100,106600
149.314479,123:,22,23452
149.314479,112:,1,1066
149.314479,114:,2,140
149.314479,11:,13,11866
151.322164,1:,254,268772
151.322164,122:,100,106600
151.322164,124:,17,18122
151.322164,113:,0,0
151.322164,111:,11,11726
151.322164,12:,240,255840
151.322164,121:,100,106600
151.322164,123:,24,25584
151.322164,112:,1,1066
151.322164,114:,2,140
151.322164,11:,14,12932
153.328179,1:,258,273036
153.328179,122:,100,106600
153.328179,124:,18,19188
153.328179,113:,0,0
153.328179,111:,11,11726
153.328179,12:,244,260104
153.328179,121:,100,106600
153.328179,123:,27,28782
153.328179,112:,1,1066
153.328179,114:,2,140
153.328179,11:,14,12932
155.33747,1:,261,276234
155.33747,122:,100,106600
155.33747,124:,20,21320
155.33747,113:,0,0
155.33747,111:,11,11726
155.33747,12:,247,263302
155.33747,121:,100,106600
155.33747,123:,28,29848
155.33747,112:,1,1066
155.33747,114:,2,140
155.33747,11:,14,12932
157.343324,1:,265,280498
157.343324,122:,100,106600
157.343324,124:,21,22386
157.343324,113:,0,0
157.343324,111:,11,11726
157.343324,12:,251,267566
157.343324,121:,100,106600
157.343324,123:,31,33046
157.343324,112:,1,1066
157.343324,114:,2,140
157.343324,11:,14,12932
159.383428,1:,269,284762
159.383428,122:,100,106600
159.383428,124:,23,24518
159.383428,113:,0,0
159.383428,111:,11,11726
159.383428,12:,255,271830
159.383428,121:,100,106600
159.383428,123:,33,35178
159.383428,112:,1,1066
159.383428,114:,2,140
159.383428,11:,14,12932
161.401261,1:,272,287960
161.401261,122:,100,106600
161.401261,124:,24,25584
161.401261,113:,0,0
161.401261,111:,11,11726
161.401261,12:,258,275028
161.401261,121:,100,106600
161.401261,123:,35,37310
161.401261,112:,1,1066
161.401261,114:,2,140
161.401261,11:,14,12932
163.445907,1:,276,292224
163.445907,122:,100,106600
163.445907,124:,25,26650
163.445907,113:,0,0
163.445907,111:,11,11726
163.445907,12:,262,279292
163.445907,121:,100,106600
163.445907,123:,38,40508
163.445907,112:,1,1066
163.445907,114:,2,140
163.445907,11:,14,12932
165.462346,1:,280,296488
165.462346,122:,100,106600
165.462346,124:,27,28782
165.462346,113:,0,0
165.462346,111:,12,12792
165.462346,12:,265,282490
165.462346,121:,100,106600
165.462346,123:,39,41574
165.462346,112:,1,1066
165.462346,114:,2,140
165.462346,11:,15,13998
167.484679,1:,284,300752
167.484679,122:,100,106600
167.484679,124:,28,29848
167.484679,113:,0,0
167.484679,111:,12,12792
167.484679,12:,269,286754
167.484679,121:,100,106600
167.484679,123:,42,44772
167.484679,112:,1,1066
167.484679,114:,2,140
167.484679,11:,15,13998
169.502096,1:,287,303950
169.502096,122:,100,106600
169.502096,124:,29,30914
169.502096,113:,0,0
169.502096,111:,12,12792
169.502096,12:,272,289952
169.502096,121:,100,106600
169.502096,123:,44,46904
